source_site,job_id,job_title,company_name,location_city,location_country,salary_min,salary_max,salary_currency,contract_type,category,created_date,job_description,redirect_url,scraped_date
Adzuna,5623646489,HR Manager,Midtown Personnel,US,US,142514.62,142514.62,,,HR & Recruitment Jobs,2026-02-10,"Position Overview As Manager of Human Resources / People Experience, you will provide progressive People support and internal consultation to all Midtown employees and contractors. In this role you will report to and partner with the CPO to deliver the organization’s people strategies and serve as the day to day onsite People lead. This is a true generalist role for a passionate talent centric individual who thrives in a fast paced, high production environment yet enjoys creating structure and …",https://www.adzuna.com/land/ad/5623646489?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=BD0B83CC5DBD505CDC4679255EEEA4DCB6834266,2026-02-11
Adzuna,5605766023,Senior HR Manager,"Codinix Technologies, Inc.",US,US,111876.48,111876.48,,,HR & Recruitment Jobs,2026-01-29,"Roles & Responsibilities Act as the primary liaison between management and union representatives, handling grievances, disciplinary actions, and arbitration. Support contract negotiations and labor relations strategy under collective bargaining agreements. Conduct employee investigations and resolve concerns fairly and timely while promoting a positive workplace culture. Coach and support supervisors and employees on employee relations and performance matters. Oversee recruitment, onboarding, a…",https://www.adzuna.com/land/ad/5605766023?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=896240D326070B6028521D3ACC7355F33DACB419,2026-02-11
Adzuna,5622907744,Plant Human Resources Manager,Duroshox,US,US,80000.0,90000.0,,,HR & Recruitment Jobs,2026-02-10,Job Description Job Description HR & Administrative Manager Classification Exempt Job Summary: We are looking for a dynamic and experienced HR and Administrative Manager to oversee our human resources and office management functions. The ideal candidate will be responsible for ensuring the smooth and efficient operation of HR processes with the support of a Professional Employer Organization (PEO) as well as managing the office environment. This is a stand-alone position that will report to the…,https://www.adzuna.com/land/ad/5622907744?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=9F02E989ADA31C118CD6944A1983E3181FF29AAB,2026-02-11
Adzuna,4930333911,HR Manager,Robert Half,US,US,93637.26,93637.26,,,HR & Recruitment Jobs,2024-11-07,"Description Robert Half has partnered with one of their specialty clients on their search for a HR Manager with a strong human resources background along with supervisory experience. This HR Manager role consist of assisting with performance management, developing, and implementing HR policies and changes, ensuring compliance with labor laws/regulations, and maintaining the internal payroll system and process. The successful candidate will conduct HR trend analysis, create employee retention st…",https://www.adzuna.com/land/ad/4930333911?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=3EB0794305935E37CCFDA56863D3E148FB07C340,2026-02-11
Adzuna,5509747202,HR Manager,"Adecco US, Inc.",US,US,136514.53,136514.53,,,HR & Recruitment Jobs,2025-11-22,"Our client is a well-known food manufacturer with plants in NY and NJ. Due to growth seeking an HR Manager to join to HR staff. Primary duties include:  Develop and implement HR strategies, policies, and procedures that support organizational goals and ensure legal compliance.  Lead full-cycle talent acquisition, including workforce planning, recruitment, interviewing, onboarding, and retention initiatives.  Manage employee relations by addressing concerns, resolving conflicts, and fostering a …",https://www.adzuna.com/land/ad/5509747202?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=1FB51602D2070CBFBE26DE2B67197A5E40A2B394,2026-02-11
Adzuna,5623615695,HR Manager,Robert Half,US,US,106826.81,106826.81,,,HR & Recruitment Jobs,2026-02-10,"Description We are looking for an experienced HR Manager to lead and oversee the daily operations of the Human Resources department in KC Metro area. This role is pivotal in ensuring the effective implementation of HR policies and programs that drive employee engagement, compliance, and organizational development. Reporting to the Vice President of Human Resources, the HR Manager will serve as a trusted advisor to employees and managers while fostering a supportive and productive work environme…",https://www.adzuna.com/land/ad/5623615695?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=DFC2936F8FF6DD7E156CCA6B24E41CCCF882867D,2026-02-11
Adzuna,5606983371,HR Manager,Insight Global,US,US,123608.48,123608.48,,,HR & Recruitment Jobs,2026-01-30,"Job Description The HR Manager will serve as a strategic partner to plant leadership and employees, leading all aspects of human resources management at the facility. This role is responsible for fostering a high-performance culture through talent development, employee engagement, labor relations, compliance, and organizational effectiveness. Key Responsibilities: - Provide guidance on HR policies and programs to support business goals - Lead recruitment, onboarding, performance management, and…",https://www.adzuna.com/land/ad/5606983371?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=F88EC11AE8F4419FAC1E679AA7A78A7C570B9641,2026-02-11
Adzuna,5623566065,HR Manager,"Compass Group, North America",US,US,61760.02,61760.02,,,HR & Recruitment Jobs,2026-02-10,"Levy Sector Position Title: HR Manager - Moda Center Pay Range : [[cust_StartingPayRate]] to [[cust_MaxPayRate]] Location: Moda Center - home of NBA's Trail Blazers, WNBA's Fire, and WHL's Winterhawks Diversity of thought and inclusion for all is what drives our success - we invite you to start your journey with us today Are you looking for a job with competitive wages, one in which you can learn and grow and be a part of a great team? We're hiring! Great team member perks like Instapay (early …",https://www.adzuna.com/land/ad/5623566065?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=BB10FA9CF432FE33E7F156E00BDC44A89C355340,2026-02-11
Adzuna,5619886382,HR Manager,Aston Carter,US,US,141196.7,141196.7,,,HR & Recruitment Jobs,2026-02-07,"Aston Carter is partnering with a well-established and growing manufacturing organization that is seeking an experienced HR Manager to join their team. This opening comes from an internal promotion-reflecting a strong culture of growth and advancement within the company. In this role, you'll have the opportunity to lead impactful HR initiatives, with a significant focus (70-80%) on employee relations. The ideal candidate will bring prior HR Manager or HR Supervisor experience, including direct …",https://www.adzuna.com/land/ad/5619886382?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=DF9FF1EAB2A78927CA17490E6E02F1925C64D1FE,2026-02-11
Adzuna,5619886401,HR Manager,Aston Carter,US,US,126100.91,126100.91,,,HR & Recruitment Jobs,2026-02-07,"Aston Carter is partnering with a well-established and growing manufacturing organization that is seeking an experienced HR Manager to join their team. This opening comes from an internal promotion-reflecting a strong culture of growth and advancement within the company. In this role, you'll have the opportunity to lead impactful HR initiatives, with a significant focus (70-80%) on employee relations. The ideal candidate will bring prior HR Manager or HR Supervisor experience, including direct …",https://www.adzuna.com/land/ad/5619886401?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=94CB3354CCF813969E489B3725D288B1E7502C8E,2026-02-11
Adzuna,5606983664,HR Manager,Eaton Corporation,US,US,148201.66,148201.66,,,HR & Recruitment Jobs,2026-01-30,"Eaton's Distributed IT division is currently seeking a Plant HR Manager to join our team in Worcester, MA. As the HR Manager you will lead the HR Function and provide leadership and support to approximately 130 employees, serving as a business partner to the Plant Manager and functional leaders on the leadership team. This includes driving the strategic HR plan at the site and implementing talent initiatives to support the business and site growth. The expected annual salary range for this role…",https://www.adzuna.com/land/ad/5606983664?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=65D5A3537B73EE71DF4C35B4621E1BC708E0347B,2026-02-11
Adzuna,5551441676,HR Manager,ThermoFisher Scientific,US,US,107994.05,107994.05,,,HR & Recruitment Jobs,2025-12-21,"Work Schedule First Shift (Days) Environmental Conditions Office, Some degree of PPE (Personal Protective Equipment) required (safety glasses, gowning, gloves, lab coat, ear plugs etc.) Job Description As part of the Thermo Fisher Scientific team, you'll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to life every single day to enable our customers to make the world healthier, cleaner and safer. We provide our global teams wi…",https://www.adzuna.com/land/ad/5551441676?se=GpqNX0EH8RG2dNP2mkPaTw&utm_medium=api&utm_source=4c3f8b3e&v=AABF5D203055E6237D14E25C920DCED315102AC4,2026-02-11
